SnomedCTConceptId,Preferred term,Body region,,,,,,,,,,
80692000,Late effect of tendon injury,UNS,,,,,,,,,,
80756009,Closed fracture of patella,KNE,,,,,,,,,,
81498004,Bursitis of hip,HIP,,,,,,,,,,
81576005,Closed fracture of phalanx of foot,FOT/TOE,,,,,,,,,,
81680005,Neck pain,NCK,,,,,,,,,,
81902001,Sprain of medial collateral ligament of knee,KNE,,,,,,,,,,
82423001,Chronic pain,UNS,,,,,,,,,,
82675004,Baker's cyst,KNE,,,,,,,,,,
82991003,Generalized aches and pains,MSW,,,,,,,,,,
83561009,Spinal stenosis in cervical region,NCK,,,,,,,,,,
84017003,Bursitis,UNS,,,,,,,,,,
84445001,Joint stiffness,UNS,,,,,,,,,,
84869007,Musculoskeletal symptoms,UNS,,,,,,,,,,
85551004,Hypermobility syndrome,MSW,,,,,,,,,,
86380000,Acquired claw toes,TOE,,,,,,,,,,
870206000,Weber type A fracture ,ANK ,,,,,,,,,,
870207009,Weber type B fracture,ANK ,,,,,,,,,,
87778004,Sprain of hand,HND,,,,,,,,,,
8847002,Spondylosis,SPN,,,,,,,,,,
88998003,Osteophyte,UNS,,,,,,,,,,
90460009,Injury of neck,NCK,,,,,,,,,,
906591000006102,Soft tissue injuries,UNS,,,,,,,,,,
90834002,Pain in limb,ARM,,,,,,,,,,
91037003,Closed fracture of pelvis,HIP,,,,,,,,,,
926335004,Rupture of rotator cuff of shoulder,SHD  ,,,,,,,,,,
928000,Disorder of musculoskeletal system,UNS,,,,,,,,,,
939761000006103,Musculoskeletal pain mild,UNS,,,,,,,,,,
9468002,Closed fracture of carpal bone,WRT/HND,,,,,,,,,,
95414005,Calcific tendinitis,UNS,,,,,,,,,,
95854004,Pulled elbow,ELB,,,,,,,,,,
9682006,Fracture of scapula,SHD  ,,,,,,,,,,
9808005,Closed fracture of cuboid bone of foot,FOT,,,,,,,,,,
1931871000006102,Suspected fracture,UNS,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
