Read code,Read term,CALIBER category
L228.00,Multiple pregnancy with malpresentation,Currently pregnant
L22y.00,Other fetal malposition and malpresentation,Currently pregnant
L22z.00,Fetal malposition and malpresentation NOS,Currently pregnant
L23..00,Cephalo-pelvic disproportion,Currently pregnant
L230.00,Disproportion - major pelvic abnormality,Currently pregnant
L231.00,Generally contracted pelvis,Currently pregnant
L231z00,Generally contracted pelvis NOS,Currently pregnant
L232.00,Inlet pelvic contraction,Currently pregnant
L233.00,Outlet pelvic contraction,Currently pregnant
L233z00,Outlet pelvic contraction NOS,Currently pregnant
L234.00,Mixed feto-pelvic disproportion,Currently pregnant
L235.00,Large fetus causing disproportion,Currently pregnant
L236.00,Hydrocephalic disproportion,Currently pregnant
L236z00,Hydrocephalic disproportion NOS,Currently pregnant
L237.00,Other fetal abnormality causing disproportion,Currently pregnant
L237200,Other fetal abnormality causing disproportion with a/n prob,Currently pregnant
L240000,Congenital abnormality of uterus affecting obstetric care,Currently pregnant
L240011,Bicornuate uterus affecting obstetric care,Currently pregnant
L240311,"Bicornuate uterus complicating a/n care, baby not delivered",Currently pregnant
L241000,Tumour of uterine body affecting obstetric care,Currently pregnant
L241011,Uterine fibroid affecting obstetric care,Currently pregnant
L241300,"Tumour of uterine body complicating a/n care, baby not deliv",Currently pregnant
L241311,"Uterine fibroid complicating a/n care, baby not delivered",Currently pregnant
L243.00,Retroverted incarcerated gravid uterus,Currently pregnant
L243000,Retroverted incarcerated gravid uterus unspecified,Currently pregnant
L243z00,Retroverted incarcerated gravid uterus NOS,Currently pregnant
L244011,Cystocele affecting obstetric care,Currently pregnant
L244300,Other uterine/pelvic floor abnormal - baby not yet delivered,Currently pregnant
L244312,Rectocele complicating antenatal care - baby not delivered,Currently pregnant
L245.00,Cervical incompetence,Currently pregnant
L245.11,Shirodkar suture present,Currently pregnant
L245000,Cervical incompetence unspecified,Currently pregnant
L245z00,Cervical incompetence NOS,Currently pregnant
L246311,Polyp of cervix complicating a/n care- baby not delivered,Currently pregnant
L247300,Vaginal abnormality complicating a/n care-baby not delivered,Currently pregnant
L248300,Vulval abn complicating a/n care - baby not yet delivered,Currently pregnant
L25..00,Known or suspected fetal abnormality,Currently pregnant
L250.00,Fetus with central nervous system malformation,Currently pregnant
L250.11,Suspect fetal anencephaly,Currently pregnant
L250.12,Suspect fetal hydrocephaly,Currently pregnant
L250.13,Suspect fetal spina bifida,Currently pregnant
L250000,Fetus with central nervous system malformation unspecified,Currently pregnant
L250200,Fetus with central nervous system malformation + a/n problem,Currently pregnant
L250400,Maternal care for CNS malformation in fetus,Currently pregnant
L250z00,Fetus with central nervous system malformation NOS,Currently pregnant
L251.00,Fetus with chromosomal abnormality,Currently pregnant
L251.11,Suspect cystic fibrosis fetus,Currently pregnant
L251.12,Suspect mongol fetus,Currently pregnant
L251000,Fetus with chromosomal abnormality unspecified,Currently pregnant
L251400,Maternal care for chromosomal abnormality in fetus,Currently pregnant
L251z00,Fetus with chromosomal abnormality NOS,Currently pregnant
L252.00,Fetus with hereditary disease,Currently pregnant
L252000,Fetus with hereditary disease unspecified,Currently pregnant
L253.00,Fetus with viral damage via mother,Currently pregnant
L253.11,Fetus with suspected rubella damage via mother,Currently pregnant
L254.00,Fetus with damage due to other maternal disease,Currently pregnant
L254.11,Suspect fetal damage from maternal alcohol,Currently pregnant
L254.12,Suspect fetal damage from maternal toxoplasmosis,Currently pregnant
L255.00,Fetus with drug damage,Currently pregnant
L255300,Maternal care for (suspected) damage to fetus from alcohol,Currently pregnant
L256.00,Fetus with radiation damage,Currently pregnant
L257.00,Fetus with damage due to intra-uterine contraceptive device,Currently pregnant
L257.12,Fetus with damage due to intra-uterine contraceptive device,Currently pregnant
L25y000,"Fetus with other damage NEC, unspecified",Currently pregnant
L25yz00,Fetus with other damage NEC NOS,Currently pregnant
L25z.00,Fetus with damage NOS,Currently pregnant
L25z000,"Fetus with damage NOS, unspecified",Currently pregnant
L25z300,"Maternal care for suspect fetal abnormal and damage, unspec",Currently pregnant
L25z400,"Maternal care for fetal abnormality and damage, unspecified",Currently pregnant
L25zz00,Fetus with damage NOS,Currently pregnant
L26..00,Other fetal and placental problems,Currently pregnant
L260.00,Fetal-maternal haemorrhage,Currently pregnant
L260200,Fetal-maternal haemorrhage with antenatal problem,Currently pregnant
L261200,Rhesus isoimmunisation with antenatal problem,Currently pregnant
L262200,Other blood-group isoimmunisation with antenatal problem,Currently pregnant
L263.00,Fetal distress - affecting management,Currently pregnant
L263.11,Fetal acidosis,Currently pregnant
L263.12,Fetal bradycardia,Currently pregnant
L263.13,Fetal tachycardia,Currently pregnant
L263000,Fetal distress unspecified,Currently pregnant
L263200,Fetal distress with antenatal problem,Currently pregnant
L263700,Maternal care for fetal hypoxia,Currently pregnant
L263800,Maternal care for fetal decelerations during pregnancy,Currently pregnant
L263900,Maternal care for fetal tachycardia during pregnancy,Currently pregnant
L263A00,Maternal care for fetal bradycardia during pregnancy,Currently pregnant
L263A11,Maternal care for reduced fetal heart rate during pregnancy,Currently pregnant
L263z00,Fetal distress NOS,Currently pregnant
L264.00,Intrauterine death,Currently pregnant
L264.11,Fetal death in utero,Currently pregnant
L264000,Intrauterine death unspecified,Currently pregnant
L264200,Intrauterine death with antenatal problem,Currently pregnant
L264z00,Intrauterine death NOS,Currently pregnant
L265.00,Small-for-dates fetus in pregnancy,Currently pregnant
L265.11,Placental insufficiency,Currently pregnant
L265000,Small-for-dates unspecified,Currently pregnant
L265300,Maternal care for poor fetal growth,Currently pregnant
L265311,Maternal care for intrauterine growth retardation,Currently pregnant
L265z00,Small-for-dates NOS,Currently pregnant
L266.00,Large-for-dates fetus in pregnancy,Currently pregnant
L266000,Large-for-dates unspecified,Currently pregnant
L266300,Suspected macroscopic fetus,Currently pregnant
L266z00,Large-for-dates NOS,Currently pregnant
L267.00,Other placental conditions,Currently pregnant
L267300,Placental transfusion syndromes,Currently pregnant
L267500,Other fetal problems,Currently pregnant
L267600,Placental infarction,Currently pregnant
L268.00,Other fetal problems,Currently pregnant
L268000,Reduced fetal movements,Currently pregnant
L27..00,Polyhydramnios and hydramnios,Currently pregnant
L27..11,Hydramnios,Currently pregnant
L270.00,Polyhydramnios,Currently pregnant
L270000,Polyhydramnios unspecified,Currently pregnant
L270200,Polyhydramnios with antenatal problem,Currently pregnant
L270z00,Polyhydramnios NOS,Currently pregnant
L27z.00,Polyhydramnios NOS,Currently pregnant
L28..00,Other problems of amniotic cavity and membranes,Currently pregnant
L280.00,Oligohydramnios,Currently pregnant
L280000,Oligohydramnios unspecified,Currently pregnant
L280200,Oligohydramnios with antenatal problem,Currently pregnant
L280300,Anhydramnios,Currently pregnant
L280z00,Oligohydramnios NOS,Currently pregnant
L284.00,Amniotic cavity infection,Currently pregnant
L284.11,Amnionitis,Currently pregnant
L284.13,Membranitis,Currently pregnant
L284z00,Amniotic cavity infection NOS,Currently pregnant
L28y.00,Other problems of amniotic cavity and membranes,Currently pregnant
L28z.00,Amniotic cavity and membrane problems NOS,Currently pregnant
L28z200,Amniotic cavity and membrane problem NOS with a/n problem,Currently pregnant
L28zz00,Amniotic cavity and membrane problem NOS,Currently pregnant
L295.00,Elderly primigravida,Currently pregnant
L2A..00,Abnormal findings on antenatal screening of mother,Currently pregnant
L2A0.00,Abnormal haematologic find on antenatal screening of mother,Currently pregnant
L2A1.00,Abnormal biochemical finding on antenatal screen of mother,Currently pregnant
L2A3.00,Abnormal ultrasonic finding on antenatal screening of mother,Currently pregnant
L2A4.00,Abnormal radiological finding on antenatal screen of mother,Currently pregnant
L2A5.00,Abnormal chromosomal and genet find/antenat screen of mother,Currently pregnant
L2AX.00,Abnormal finding on antenatal screening of mother,Currently pregnant
L2B..00,Low weight gain in pregnancy,Currently pregnant
L2C..00,Malnutrition in pregnancy,Currently pregnant
L2D..00,Retained intrauterine contraceptive device in pregnancy,Currently pregnant
L2y..00,Other specified risk factors in pregnancy,Currently pregnant
L2z..00,Risk factors in pregnancy NOS,Currently pregnant
L304.00,Persistent occipitoposterior or occipitoanterior position,Currently pregnant
L33..00,Umbilical cord complications,Currently pregnant
L335.00,Vasa praevia,Currently pregnant
L335.11,Velamentous insertion of cord,Currently pregnant
L336.00,Vascular lesions of cord,Currently pregnant
L336000,Vascular lesions of cord unspecified,Currently pregnant
L336z00,Vascular lesions of cord NOS,Currently pregnant
L33y.00,Other umbilical cord complications,Currently pregnant
L33yz00,Other umbilical cord complications NOS,Currently pregnant
L33z.00,Umbilical cord complications NOS,Currently pregnant
L33z000,"Umbilical cord complications NOS, unspecified",Currently pregnant
L33z200,Umbilical cord complications NOS with antenatal problem,Currently pregnant
L33zz00,Umbilical cord complications NOS,Currently pregnant
L370.11,Placenta accreta without haemorrhage,Currently pregnant
L385.00,Failed or difficult intubation during pregnancy,Currently pregnant
L390.00,Maternal distress,Currently pregnant
L392.00,Maternal hypotension syndrome,Currently pregnant
L392z00,Maternal hypotension syndrome NOS,Currently pregnant
L394.00,Other complications of obstetric procedures,Currently pregnant
L394z00,Other complications of obstetric procedures NOS,Currently pregnant
L39y500,Maternal exhaustion,Currently pregnant
L410500,Varicose veins of legs in pregnancy,Currently pregnant
L411300,VV's of perineum/vulva in pregnancy/puerperium + a/n comp,Currently pregnant
L411500,Genital varices in pregnancy,Currently pregnant
L411512,Vaginal varices in pregnancy,Currently pregnant
L411513,Vulval varices in pregnancy,Currently pregnant
L412500,Superficial thrombophlebitis in pregnancy,Currently pregnant
L412511,Thrombophlebitis of legs in pregnancy,Currently pregnant
L413.00,Antenatal deep vein thrombosis,Currently pregnant
L413.11,"DVT - deep venous thrombosis, antenatal",Currently pregnant
L413000,Antenatal deep vein thrombosis unspecified,Currently pregnant
L413z00,Antenatal deep vein thrombosis NOS,Currently pregnant
L414.12,Phlegmasia alba dolens - obstetric,Currently pregnant
L415300,Other phlebitis/thrombosis in preg/puerperium + a/n comp,Currently pregnant
L416600,Haemorrhoids in pregnancy,Currently pregnant
L417000,Cerebral venous thrombosis in pregnancy,Currently pregnant
L41z500,"Venous complication of pregnancy, unspecified",Currently pregnant
L444.00,Placental polyp,Currently pregnant
L463300,Other breast disorder in pregnancy/puerperium/lact +a/n comp,Currently pregnant
L5...00,Maternal care for fetus,Currently pregnant
L51..00,Maternal care for other known or suspected fetal problems,Currently pregnant
L510.00,Maternal care for hydrops fetalis,Currently pregnant
L512.00,Maternal care for diminished fetal movements,Currently pregnant
L514.00,Maternal care for poor fetal growth,Currently pregnant
L51X.00,"Maternal care/known or suspected fetal problem,unspecifd",Currently pregnant
Lyu0100,[X]Other specified abnormal products of conception,Currently pregnant
Lyu2100,[X]Other vomiting complicating pregnancy,Currently pregnant
Lyu2200,[X]Other venous complications in pregnancy,Currently pregnant
Lyu2500,[X]Other specified pregnancy-related conditions,Currently pregnant
Lyu3900,[X]Maternal care/oth spcf known or suspected fetal problems,Currently pregnant
Lyu3A00,"[X]Maternal care/known or suspected fetal problem,unspecifd",Currently pregnant
Lyu3B00,[X]Other disorders of amniotic fluid and membranes,Currently pregnant
Lyu3C00,[X]Other placental disorders,Currently pregnant
M240500,Alopecia of pregnancy,Currently pregnant
Q000.11,Fetus affected by maternal toxaemia,Currently pregnant
Q007111,Fetal alcohol syndrome,Currently pregnant
Q013.11,Fetus affected by hydramnios,Currently pregnant
Q015100,Fetus or neonate affected by twin pregnancy,Currently pregnant
Q016.11,Fetus affected by maternal death,Currently pregnant
Q017.11,Fetus affected by malpresentation,Currently pregnant
Q02..00,Fetus/neonate affected by complic of placenta/cord/membrane,Currently pregnant
Q021000,Fetus/neonate affected by antepartum haemorrhage unspecified,Currently pregnant
Q021011,Fetus affected by APH - antepartum haemorrhage,Currently pregnant
Q021111,Fetus affected by placental abruption,Currently pregnant
Q021500,Fetus or neonate affected by premature placental separation,Currently pregnant
Q026.11,Fetus affected by cord problems,Currently pregnant
Q10..00,Slow fetal growth and fetal malnutrition,Currently pregnant
Q10..11,Fetal malnutrition,Currently pregnant
Q100.00,"Fetus small-for-dates, without mention of malnutrition",Currently pregnant
Q100.11,"Fetus small-for-dates (SFD), without mention of malnutrition",Currently pregnant
Q101.00,Fetus small-for-dates with signs of malnutrition,Currently pregnant
Q101.11,Fetus small-for-dates (SFD) with signs of malnutrition,Currently pregnant
Q10z.00,Fetal growth retardation NOS,Currently pregnant
Q10z.11,Intrauterine growth retardation,Currently pregnant
Q21..11,Intrauterine hypoxia,Currently pregnant
Q210.00,Fetal death due to prelabour anoxia,Currently pregnant
Q408.00,Intra-amniotic fetal infection,Currently pregnant
Q408200,Eschericha coli intra-amniotic fetal infection,Currently pregnant
Q408500,Group B haemolytic streptococcal intra-amniotic infect. NEC,Currently pregnant
Q408z00,Intra-amniotic fetal infection NOS,Currently pregnant
Q40y000,"Intrauterine fetal sepsis, unspecified",Currently pregnant
Q410.00,Fetal blood loss,Currently pregnant
Q410000,"Fetal blood loss, unspecified",Currently pregnant
Q423.00,Hydrops fetalis due to isoimmunisation,Currently pregnant
Q42X.00,Hydrops fetalis due to other+unspcfd haemolytic disease,Currently pregnant
Q436.00,"Fetal and neonatal jaundice, unspecified",Currently pregnant
Q470.00,Idiopathic hydrops fetalis,Currently pregnant
Q479.00,Non-immune hydrops fetalis,Currently pregnant
Y60 AN,,Currently pregnant
Z212.00,Antenatal care,Currently pregnant
Z212.11,Pregnancy care,Currently pregnant
Z212.12,Maternity care,Currently pregnant
Z212100,Delivery place planned,Currently pregnant
Z212200,Home delivery planned,Currently pregnant
Z212300,Delivery place booked,Currently pregnant
Z22..00,Pregnancy observations,Currently pregnant
Z221.00,Primigravida,Currently pregnant
Z222.00,Multigravida,Currently pregnant
Z225.00,Normal pregnancy,Currently pregnant
Z226.00,Pregnancy problem,Currently pregnant
Z227.00,Confirmation of pregnancy,Currently pregnant
Z229.00,Observation of position of pregnancy,Currently pregnant
Z229100,Intrauterine pregnancy,Currently pregnant
Z22A.00,Observation of pattern of pregnancy,Currently pregnant
Z22A100,Low risk pregnancy,Currently pregnant
Z22A200,High risk pregnancy,Currently pregnant
Z22A211,HRP - High risk pregnancy,Currently pregnant
Z22A300,Concealed pregnancy,Currently pregnant
Z22A400,Early stage of pregnancy,Currently pregnant
Z22A500,Biochemical pregnancy,Currently pregnant
Z22A600,Teenage pregnancy,Currently pregnant
Z22A700,Surrogate pregnancy,Currently pregnant
Z22A800,Undiagnosed pregnancy,Currently pregnant
Z22A900,Unwanted pregnancy,Currently pregnant
Z22AA00,Wanted pregnancy,Currently pregnant
Z22AB00,Unplanned pregnancy,Currently pregnant
Z22AB11,Accidental pregnancy,Currently pregnant
Z22AC00,Pregnancy with uncertain dates,Currently pregnant
Z22AD00,Presentation of pregnancy,Currently pregnant
Z22AD11,Reported conception - pregnancy,Currently pregnant
Z22AE00,Baby overdue,Currently pregnant
Z22B.00,Observation of quantity of pregnancy,Currently pregnant
Z22B100,Single pregnancy,Currently pregnant
Z22B500,Quintuplet pregnancy,Currently pregnant
Z22B800,Undiagnosed multiple pregnancy,Currently pregnant
Z22B900,Continuing pregnancy after abortion of sibling fetus,Currently pregnant
Z22BA00,Contin pregnancy after intrauterine death of sibling fetus,Currently pregnant
Z22C.00,Observation of measures of pregnancy,Currently pregnant
Z22C100,Estimated date of delivery from last period,Currently pregnant
Z22C200,Estimated date of delivery from last normal period,Currently pregnant
Z22C300,Length of gestation,Currently pregnant
Z22C311,Pregnancy duration,Currently pregnant
Z22C312,Duration of gestation,Currently pregnant
Z22C313,Duration of pregnancy,Currently pregnant
Z22C314,Weeks pregnant,Currently pregnant
Z22C500,Estimated date of conception,Currently pregnant
Z22C511,EDC - Estimated date of conception,Currently pregnant
Z22CF00,Date symptom of pregnancy first noted,Currently pregnant
Z22D.00,Observation of viability of pregnancy,Currently pregnant
Z22D100,Viable pregnancy,Currently pregnant
Z22D200,Non-viable pregnancy,Currently pregnant
Z22D300,Uncertain viability of pregnancy,Currently pregnant
Z22D311,Query viability of pregnancy,Currently pregnant
Z23..00,Observation of gravid uterus,Currently pregnant
Z231.00,Gravid uterus present,Currently pregnant
Z234.00,Observation of size of gravid uterus,Currently pregnant
Z234100,Gravid uterus large-for-dates,Currently pregnant
Z234200,Gravid uterus small-for-dates,Currently pregnant
Z234300,Observation of height of gravid uterus,Currently pregnant
Z234400,Fundal height high for dates,Currently pregnant
Z234500,Fundal height equal to dates,Currently pregnant
Z234600,Fundal height low for dates,Currently pregnant
Z235.00,Observation of shape of pregnant abdomen,Currently pregnant
Z235100,Ovoid pregnant abdomen,Currently pregnant
Z235200,Rounded pregnant abdomen,Currently pregnant
Z235300,Transversely enlarged pregnant abdomen,Currently pregnant
Z235400,Pendulous pregnant abdomen,Currently pregnant
Z236100,Normal position of gravid uterus,Currently pregnant
Z237.00,Observation of sensation of gravid uterus,Currently pregnant
Z237200,Tender scar of gravid uterus,Currently pregnant
Z238112,Fundus firm,Currently pregnant
Z239200,Uterine contractions absent,Currently pregnant
Z239300,Uterine contractions ceased,Currently pregnant
Z239800,Uterine activity,Currently pregnant
Z23A100,Intermittent uterine contractions,Currently pregnant
Z23A200,Occasional uterine tightenings,Currently pregnant
Z23A400,Irregular uterine contractions,Currently pregnant
Z23A700,Niggling uterine contractions,Currently pregnant
Z23A800,Mild uterine contractions,Currently pregnant
Z23AO00,Irritable uterus,Currently pregnant
Z23AP00,Premature uterine contraction,Currently pregnant
Z23B100,Date false contractions first detected,Currently pregnant
Z23D100,Girth of pregnant abdomen,Currently pregnant
Z23D200,Pregnant abdomen observation,Currently pregnant
Z23E.00,Gravid uterus normal,Currently pregnant
Z23F.00,Gravid uterus problem,Currently pregnant
Z242.00,Labour not established,Currently pregnant
Z243200,First stage of labour not established,Currently pregnant
Z245100,Maternal blood loss minimal,Currently pregnant
Z245400,Maternal blood loss heavy,Currently pregnant
Z252.00,Mother not delivered,Currently pregnant
Z26..00,Observation of structures of conception,Currently pregnant
Z261.00,Observation of gestational sac,Currently pregnant
Z261100,Gestational sac present,Currently pregnant
Z261200,Gestational sac absent,Currently pregnant
Z262C00,Retroplacental clot,Currently pregnant
Z262D00,Fresh retroplacental clot,Currently pregnant
Z262E00,Old retroplacental clot,Currently pregnant
Z262E11,Stale retroplacental clot,Currently pregnant
Z262J11,Placental infection,Currently pregnant
Z262R00,Placenta problem,Currently pregnant
Z263.00,Uterine membrane observations,Currently pregnant
Z263900,Number of chorions in membranes,Currently pregnant
Z263C00,Intact membranes,Currently pregnant
Z264100,Observation of quantity of liquor,Currently pregnant
Z264111,Quantity of liquor,Currently pregnant
Z264112,Amount of liquor,Currently pregnant
Z264400,Normal liquor volume,Currently pregnant
Z264500,Reduced amniotic fluid,Currently pregnant
Z264600,Excessive amniotic fluid,Currently pregnant
Z265.00,Umbilical cord observations,Currently pregnant
Z265200,Umbilical cord problem,Currently pregnant
Z265A00,Number of blood vessels in umbilical cord,Currently pregnant
Z265A11,Number of vessels entering umbilical cord,Currently pregnant
Z265B00,Number of umbilical arteries,Currently pregnant
Z265C00,Number of umbilical veins,Currently pregnant
Z271.00,Cardiotochogram observation,Currently pregnant
Z271.11,CTG observations,Currently pregnant
Z271100,Fetal heart acceleration,Currently pregnant
Z271200,Normal CTG tracing,Currently pregnant
Z271400,Unsatisfactory CTG tracing,Currently pregnant
Z271411,Technically poor CTG,Currently pregnant
Z271500,CTG reactivity,Currently pregnant
Z271600,Reactive CTG tracing,Currently pregnant
Z271900,Fetal heart rate variability,Currently pregnant
Z271912,FHRV - Fetal heart rate variability,Currently pregnant
Z271C00,Fetal heart baseline pattern,Currently pregnant
Z271D00,Normal fetal heart baseline pattern,Currently pregnant
Z271E00,Sinusoidal pattern of fetal heart,Currently pregnant
Z271F00,Fetal heart deceleration,Currently pregnant
Z271G11,Type 1 dip,Currently pregnant
Z271H11,Type 2 dip,Currently pregnant
Z288.00,Problem of pelvis for delivery,Currently pregnant
Z675.00,Antenatal class,Currently pregnant
ZV22.00,[V]Normal pregnancy,Currently pregnant
ZV22.11,[V]Supervision of normal pregnancy,Currently pregnant
ZV22000,[V]First normal pregnancy supervision,Currently pregnant
ZV22100,[V]Other normal pregnancy supervision,Currently pregnant
ZV22200,[V]Pregnancy confirmed,Currently pregnant
ZV22300,"[V]Pregnant state, incidental",Currently pregnant
ZV22400,[V]Supervision of other normal pregnancy,Currently pregnant
ZV22y00,[V]Other specified pregnant state,Currently pregnant
ZV22z00,[V]Unspecified pregnant state,Currently pregnant
ZV23.00,[V]High-risk pregnancy supervision,Currently pregnant
ZV23000,[V]Pregnancy with history of infertility,Currently pregnant
ZV23100,[V]Pregnancy with history of trophoblastic disease,Currently pregnant
ZV23111,[V]Pregnancy with history of hydatidiform mole,Currently pregnant
ZV23200,[V]Pregnancy with history of abortion,Currently pregnant
ZV23400,[V]Pregnancy with other poor obstetric history,Currently pregnant
ZV23600,[V]Supervisn/pregnancy wth history insufficnt antenatal care,Currently pregnant
ZV23800,[V]Supervision of high-risk pregnancy due to social problems,Currently pregnant
ZV23y00,[V]Other specified high-risk pregnancy,Currently pregnant
ZV23z00,[V]Unspecified high-risk pregnancy,Currently pregnant
ZV28.00,[V]Antenatal screening,Currently pregnant
ZV28y00,[V]Other specified antenatal screening,Currently pregnant
ZV4J000,[V]Problems related to unwanted pregnancy,Currently pregnant
ZV61800,[V]Illegitimate pregnancy,Currently pregnant
ZV61900,[V]Other unwanted pregnancy,Currently pregnant
L00..00,Hydatidiform mole,Abnormal product of conception
L00..11,Trophoblastic disease,Abnormal product of conception
L00..12,Vesicular mole,Abnormal product of conception
L000.00,Classical hydatidiform mole,Abnormal product of conception
L001.00,Incomplete and partial hydatidiform mole,Abnormal product of conception
L01..00,Other abnormal product of conception,Abnormal product of conception
L010.00,Blighted ovum,Abnormal product of conception
L010.11,Anembryonic pregnancy,Abnormal product of conception
L011.00,Carneous mole,Abnormal product of conception
L011.11,Fleshy mole,Abnormal product of conception
L01z.00,Other abnormal product of conception NOS,Abnormal product of conception
L0...00,Pregnancy with abortive outcome,Spontaneous abortion
L02..00,Missed abortion,Spontaneous abortion
L04..00,Spontaneous abortion,Spontaneous abortion
L04..11,Miscarriage,Spontaneous abortion
L040.00,Spontaneous abortion unspecified,Spontaneous abortion
L040000,Unspec spontaneous abortion + genital tract/pelvic infection,Spontaneous abortion
L040011,Spontaneous abortion with sepsis,Spontaneous abortion
L040100,Unspec spontaneous abortion + delayed/excessive haemorrhage,Spontaneous abortion
L040111,Spontaneous abortion with heavy bleeding,Spontaneous abortion
L040900,Inevitable miscarriage,Spontaneous abortion
L040w00,Unspec spontaneous abortion + other specified complication,Spontaneous abortion
L040y00,Unspec spontaneous abortion without mention of complication,Spontaneous abortion
L040z00,Unspecified spontaneous abortion NOS,Spontaneous abortion
L041.00,Spontaneous abortion incomplete,Spontaneous abortion
L041000,Incomp spontaneous abortion + genital tract/pelvic infection,Spontaneous abortion
L041100,Incomp spontaneous abortion + delayed/excessive haemorrhage,Spontaneous abortion
L041w00,Incomp spontaneous abortion + other specified complication,Spontaneous abortion
L041x00,Incomplete spontaneous abortion with complication NOS,Spontaneous abortion
L041y00,Incomp spontaneous abortion with no mention of complication,Spontaneous abortion
L041z00,Incomplete spontaneous abortion NOS,Spontaneous abortion
L041z11,Retained products after spontaneous abortion,Spontaneous abortion
L042.00,Spontaneous abortion complete,Spontaneous abortion
L042w00,Complete spontaneous abortion + other specified complication,Spontaneous abortion
L042x00,Complete spontaneous abortion with complication NOS,Spontaneous abortion
L042y00,Complete spontaneous abortion + no mention of complication,Spontaneous abortion
L042z00,Complete spontaneous abortion NOS,Spontaneous abortion
L043.00,Inevitable abortion unspecified,Spontaneous abortion
L043.11,Inevitable miscarriage unspecified,Spontaneous abortion
L043x00,Unspecified inevitable abortion with unspec complication,Spontaneous abortion
L043y00,Unspecified inevitable abortion with OS complication,Spontaneous abortion
L043z00,Unspecified inevitable abortion without complication,Spontaneous abortion
L044.00,Inevitable abortion incomplete,Spontaneous abortion
L044.11,Inevitable miscarriage incomp,Spontaneous abortion
L044000,Incomp inev abor comp by genital tract and pelvic infection,Spontaneous abortion
L044200,Incomplete inevitable abortion complicated by embolism,Spontaneous abortion
L044x00,Incomplete inevitable abortion with unspecified complication,Spontaneous abortion
L044x11,Incomplete inevitable miscarriage with unspecified comp,Spontaneous abortion
L044y00,Incomplete inevitable abortion with OS complication,Spontaneous abortion
L044y11,Incomplete inevitable miscarriage with other specified comp,Spontaneous abortion
L044z00,Incomplete inevitable abortion without complication,Spontaneous abortion
L044z11,Incomplete inevitable miscarriage without complication,Spontaneous abortion
L045.00,Inevitable abortion complete,Spontaneous abortion
L045.11,Inevitable miscarriage complete,Spontaneous abortion
L045x00,Complete inevitable abortion with unspecified complication,Spontaneous abortion
L045y00,Complete inevitable abortion with OS complication,Spontaneous abortion
L045y11,Complete inevitable miscarriage with OS complication,Spontaneous abortion
L045z00,Complete inevitable abortion without complication,Spontaneous abortion
L045z11,Complete inevitable miscarriage without complication,Spontaneous abortion
L04z.00,Spontaneous abortion NOS,Spontaneous abortion
L097000,"Readmis for retain products of concept, spontaneous abortion",Spontaneous abortion
L10zz11,Inevitable abortion,Spontaneous abortion
Infinity,Open removal of products of conception from uterus NEC,Termination of pregnancy
Infinity,Hysterotomy and termination of pregnancy,Termination of pregnancy
Infinity,Dilation cervix uteri & curettage for termination pregnancy,Termination of pregnancy
Infinity,Curettage of uterus for termination of pregnancy NEC,Termination of pregnancy
Infinity,Curettage of uterus for termination of pregnancy NEC,Termination of pregnancy
Infinity,Suction termination of pregnancy,Termination of pregnancy
Infinity,Vacuum termination of pregnancy,Termination of pregnancy
Infinity,Dilation of cervix and extraction termination of pregnancy,Termination of pregnancy
Infinity,Termination of pregnancy NEC,Termination of pregnancy
9Ea..00,Reason for termination of pregnancy,Termination of pregnancy
9Ea0.00,Risk life pregnant woman greater than if pregnancy terminatd,Termination of pregnancy
9Ea2.00,Less 24 wk involv risk injury physic/mentl health preg woman,Termination of pregnancy
9Ea4.00,Unborn child at risk physi/ment abnormal serious handicap,Termination of pregnancy
L05..00,Legally induced abortion,Termination of pregnancy
L05..11,Elective abortion,Termination of pregnancy
L05..12,Termination of pregnancy,Termination of pregnancy
L05..13,Therapeutic abortion,Termination of pregnancy
L050.00,Legal abortion unspecified,Termination of pregnancy
L050000,Unspecified legal abortion + genital tract/pelvic infection,Termination of pregnancy
L050w00,Unspecified legal abortion with other specified complication,Termination of pregnancy
L050x00,Unspecified legal abortion with complication NOS,Termination of pregnancy
L050y00,Unspecified legal abortion with no mention of complication,Termination of pregnancy
L050z00,Unspecified legal abortion NOS,Termination of pregnancy
L051.00,Legal abortion incomplete,Termination of pregnancy
L051.11,Medal abortion - incomplete,Termination of pregnancy
L051.12,Surgical abortion - incomplete,Termination of pregnancy
L051100,Incomplete legal abortion + delayed or excessive haemorrhage,Termination of pregnancy
L051w00,Incomplete legal abortion with other specified complication,Termination of pregnancy
L051y00,Incomplete legal abortion with no mention of complication,Termination of pregnancy
L051z00,Incomplete legal abortion NOS,Termination of pregnancy
L052.00,Legal abortion complete,Termination of pregnancy
L052.11,Medical abortion - complete,Termination of pregnancy
L052.12,Surgical abortion - complete,Termination of pregnancy
L052000,Complete legal abortion + genital tract or pelvic infection,Termination of pregnancy
L052100,Complete legal abortion with delayed/excessive haemorrhage,Termination of pregnancy
L052x00,Complete legal abortion with complication NOS,Termination of pregnancy
L052y00,Complete legal abortion with no mention of complication,Termination of pregnancy
L052z00,Complete legal abortion NOS,Termination of pregnancy
L05z.00,Legally induced abortion NOS,Termination of pregnancy
L06..00,Illegally induced abortion,Termination of pregnancy
L06..11,Criminal abortion,Termination of pregnancy
L06..12,Self-induced abortion,Termination of pregnancy
L060.00,Illegal abortion unspecified,Termination of pregnancy
