prodcode,prodname,drugsubstance,bnfcode,strength
3896,ciclosporin capsules 100mg ,ciclosporin,08020200/10010300/01050300/13050300,100mg
3920,SANDIMMUN capsules 25mg [NOV/SANDOZ],ciclosporin,08020200/10010300/01050300/13050300,25mg
3934,auranofin tablets 3mg ,auranofin,10010300,3mg
3984,cyclophosphamide tablets 10mg ,cyclophosphamide,8010100,10mg
3985,cyclophosphamide tablets 50mg ,cyclophosphamide,8010100,50mg
3986,UROMITEXAN injection 100mg/ml [BAXTER ONC],mesna,8010604,100mg/ml
4175,EPANUTIN suspension 30mg/5ml [PFIZER],phenytoin,04070300/04080100,30mg/5ml
4224,EPREX injection 2000 iu (16.8 microgram)/0.5ml [JANSSEN],epoetin alfa,9010300,2000 iu (16.8 microgram)/0.5ml
4230,mycophenolate mofetil tablets 500mg ,mycophenolate mofetil,8020100,500mg
4231,NEORAL capsules 50mg [NOVARTIS],ciclosporin,08020200/10010300/01050300/13050300,50mg
4303,isotretinoin capsules 5mg ,isotretinoin,13060203,5mg
4304,isotretinoin capsules 20mg ,isotretinoin,13060203,20mg
4305,ROACCUTANE capsules 20mg [ROCHE],isotretinoin,13060203,20mg
4438,mycophenolate mofetil capsules 250mg ,mycophenolate mofetil,8020100,250mg
4470,sodium aurothiomalate injection 50mg/0.5ml ,sodium aurothiomalate,10010300,50mg/0.5ml
4490,phenytoin suspension 30mg/5ml ,phenytoin,04070300/04080100,30mg/5ml
4946,PLAQUENIL tablets 200mg [SANOFI S],hydroxychloroquine sulphate,10010300,200mg
4970,leflunomide tablets 100mg ,leflunomide,10010300,100mg
4971,leflunomide tablets 10mg ,leflunomide,10010300,10mg
4978,SALAZOPYRIN tablets 500mg [PHARMACIA],sulfasalazine,10010300/01050100,500mg
5089,tacrolimus twice daily capsules 5mg ,tacrolimus,8020200,5mg
5427,sulfasalazine tablets 500mg ,sulfasalazine,10010300/01050100,500mg
5587,phenytoin sodium capsules 50mg ,phenytoin sodium,04070300/04080100,50mg
5600,chlorambucil tablets 2mg ,chlorambucil,8010100,2mg
5617,CONVULEX enteric coated soft gelatin capsules 300mg [PHARMACIA],valproic acid,4080100,300mg
5870,PROGRAF twice daily capsules 500 micrograms [ASTELLAS],tacrolimus,8020200,500 micrograms
5997,CONVULEX enteric coated soft gelatin capsules 150mg [PHARMACIA],valproic acid,4080100,150mg
6333,hydroxycarbamide capsules 500mg ,hydroxycarbamide,8010507,500mg
6484,sirolimus tablets 2mg ,sirolimus,8020200,2mg
6495,tacrolimus twice daily capsules 500 micrograms ,tacrolimus,8020200,500 micrograms
6504,phenytoin sodium capsules 100mg ,phenytoin sodium,04070300/04080100,100mg
6594,phenytoin sodium capsules 300mg ,phenytoin sodium,04070300/04080100,300mg
6597,epoetin beta injection solution 6000 iu (49.8 micrograms)/0.3ml ,epoetin beta,9010300,6000 iu (49.8 micrograms)/0.3ml
6600,sirolimus tablets 1mg ,sirolimus,8020200,1mg
6624,phenytoin sodium capsules 25mg ,phenytoin sodium,04070300/04080100,25mg
6832,filgrastim injection 300micrograms/ml ,filgrastim,9010600,300micrograms/ml
6882,adalimumab injection 40mg ,adalimumab,10010300/01050300/13050300,40mg
6884,HYDREA capsules 500mg [SQUIBB],hydroxycarbamide,8010507,500mg
6891,thalidomide capsules 50mg ,thalidomide,8020400,50mg
6934,leflunomide tablets 20mg ,leflunomide,10010300,20mg
7077,mycophenolate mofetil powder for concentrate for solution for infusion 500mg ,mycophenolate mofetil,8020100,500mg
7340,capecitabine tablets 150mg ,capecitabine,8010300,150mg
7341,capecitabine tablets 500mg ,capecitabine,8010300,500mg
7497,sulfasalazine suspension 250mg/5ml ,sulfasalazine,10010300/01050100,250mg/5ml
7498,EPANUTIN capsules 25mg [PFIZER],phenytoin sodium,04070300/04080100,25mg
8404,CCNU capsules 40mg [LUNDBECK],lomustine,8010100,40mg
8665,chlorambucil tablets 5mg ,chlorambucil,8010100,5mg
8756,etoposide capsules 50mg ,etoposide,8010400,50mg
8904,DISTAMINE tablets 250mg [ALLIANCE],penicillamine,10010300/16070000/09080101,250mg
8926,mesna injection 100mg/ml ,mesna,8010604,100mg/ml
9198,NEORECORMON injection 20000 iu (166 micrograms) [ROCHE],epoetin beta,9010300,20000 iu (166 micrograms)
9368,triamcinolone acetonide intra-articular / intradermal injection 10mg/ml ,triamcinolone acetonide,10010202,10mg/ml
9678,phenytoin sugar-free suspension 90mg/5ml ,phenytoin,04070300/04080100/23000000,90mg/5ml
9743,EPREX injection 40000 iu (336 microgram)/1ml [JANSSEN],epoetin alfa,9010300,40000 iu (336 microgram)/1ml
9857,epoetin alfa injection 1000 iu (8.4 microgram)/0.5ml ,epoetin alfa,9010300,1000 iu (8.4 microgram)/0.5ml
10063,NEORECORMON injection solution 2000 iu (16.6 micrograms)/0.3ml [ROCHE],epoetin beta,9010300,2000 iu (16.6 micrograms)/0.3ml
10263,EPANUTIN capsules 300mg [PFIZER],phenytoin sodium,04070300/04080100,300mg
10328,carboplatin concentrate for solution for infusion 10mg/ml ,carboplatin,8010510,10mg/ml
10658,chloroquine phosphate syrup 80mg/5ml ,chloroquine phosphate,05040100/10010300,80mg/5ml
10729,ENDOXANA tablets 50mg [BAXTER ONC],cyclophosphamide,8010100,50mg
10842,sodium aurothiomalate injection 10mg/0.5ml ,sodium aurothiomalate,10010300,10mg/0.5ml
11003,CERUBIDIN powder for concentrate for solution for injection 20mg/vial [RHONE],daunorubicin,8010200,20mg/vial
11123,triamcinolone acetonide intra-articular / intradermal injection 10mg/ml ,triamcinolone acetonide,10010202,10mg/ml
11253,EPREX injection 1000 iu (8.4 microgram)/0.5ml [JANSSEN],epoetin alfa,9010300,1000 iu (8.4 microgram)/0.5ml
11312,interferon alfa-2a injection (solution) 6 million iu/0.5ml ,interferon alfa-2a,8020401,6 million iu/0.5ml
11313,interferon alfa-2a injection (solution) 9 million iu/0.5ml ,interferon alfa-2a,8020401,9 million iu/0.5ml
11767,sulfasalazine suspension 250mg/5ml ,sulfasalazine,10010300/01050100,250mg/5ml
11881,NEORECORMON injection solution 500 iu (4.15 micrograms)/0.3ml [ROCHE],epoetin beta,9010300,500 iu (4.15 micrograms)/0.3ml
11959,DISTAMINE tablets 50mg [ALLIANCE],penicillamine,10010300/16070000/09080101,50mg
12066,RAZOXIN tablets 125mg [CAMBRIDGE],razoxane,8010519,125mg
12067,lomustine capsules 40mg ,lomustine,8010100,40mg
12150,melphalan tablets 5mg ,melphalan,8010100,5mg
12166,ROFERON -A sterile powder 3 million iu/vial [ROCHE],interferon alfa-2a,8020401,3 million iu/vial
12339,AZAMUNE tablets 50mg [PENN],azathioprine,08020100/10010300/01050300,50mg
12469,EPANUTIN READY MIXED PARENTERAL injection 250mg/5ml [PFIZER],phenytoin sodium,02030203/04080100/04080200,250mg/5ml
12584,ROFERON -A sterile powder 9 million iu/vial [ROCHE],interferon alfa-2a,8020401,9 million iu/vial
12594,WELLFERON solution 3 mega units/ml [WELLCOME],interferon alfa-n1,8020401,3 mega units/ml
12596,INTRONA injection 5 million iu/vial [SCHERING-P],interferon alfa-2b,8020401,5 million iu/vial
12618,interferon alfa-n1 solution 3 mega units/ml ,interferon alfa-n1,8020401,3 mega units/ml
12620,interferon alfa-2a injection (solution) 6 million iu/ml ,interferon alfa-2a,8020401,6 million iu/ml
12690,epoetin alfa injection 2000 iu (16.8 microgram)/0.5ml ,epoetin alfa,9010300,2000 iu (16.8 microgram)/0.5ml
12737,epoetin beta injection solution 2000 iu (16.6 micrograms)/0.3ml ,epoetin beta,9010300,2000 iu (16.6 micrograms)/0.3ml
12789,EPREX injection 10000 iu (84 microgram)/ml [JANSSEN],epoetin alfa,9010300,10000 iu (84 microgram)/ml
12806,epoetin alfa injection 10000 iu (84 microgram)/ml ,epoetin alfa,9010300,10000 iu (84 microgram)/ml
12895,ARANESP injection 10micrograms [AMGEN],darbepoetin alfa,9010300,10micrograms
12902,interferon alfa-2a injection (solution) 3 million iu/0.5ml ,interferon alfa-2a,8020401,3 million iu/0.5ml
12903,epoetin beta injection solution 4000 iu (33.2 micrograms)/0.3ml ,epoetin beta,9010300,4000 iu (33.2 micrograms)/0.3ml
12951,darbepoetin alfa injection 10micrograms ,darbepoetin alfa,9010300,10micrograms
12962,ARANESP injection 20micrograms [AMGEN],darbepoetin alfa,9010300,20micrograms
12972,darbepoetin alfa injection 20micrograms ,darbepoetin alfa,9010300,20micrograms
12977,NEORECORMON injection solution 3000 iu (24.9 micrograms)/0.3ml [ROCHE],epoetin beta,9010300,3000 iu (24.9 micrograms)/0.3ml
12983,NEORECORMON injection solution 10000 iu (83 micrograms)/0.6ml [ROCHE],epoetin beta,9010300,10000 iu (83 micrograms)/0.6ml
12984,NEORECORMON injection solution 4000 iu (33.2 micrograms)/0.3ml [ROCHE],epoetin beta,9010300,4000 iu (33.2 micrograms)/0.3ml
13022,NIVAQUINE tablets 200mg [BEACON],chloroquine sulphate,05040100/10010300,200mg
13061,epoetin beta injection 20000 iu (166 micrograms) ,epoetin beta,9010300,20000 iu (166 micrograms)
13064,darbepoetin alfa injection 30micrograms ,darbepoetin alfa,9010300,30micrograms
13116,epoetin beta injection solution 5000 iu (41.5 micrograms)/0.3ml ,epoetin beta,9010300,5000 iu (41.5 micrograms)/0.3ml
13177,epoetin beta injection solution 1000 iu (8.3 micrograms)/0.3ml ,epoetin beta,9010300,1000 iu (8.3 micrograms)/0.3ml
13198,epoetin beta injection 10000 iu (83 micrograms) ,epoetin beta,9010300,10000 iu (83 micrograms)
13271,PROGRAF twice daily capsules 5mg [ASTELLAS],tacrolimus,8020200,5mg
13320,azathioprine tablets 10mg ,azathioprine,08020100/10010300/01050300/23000000,10mg
13493,RIDAURA TILTAB tablets 3mg [ASTELLAS],auranofin,10010300,3mg
13494,SANDIMMUN sugar free solution 100mg/ml [NOV/SANDOZ],ciclosporin,08020200/10010300/01050300/13050300,100mg/ml
13556,SANDIMMUN capsules 100mg [NOV/SANDOZ],ciclosporin,08020200/10010300/01050300/13050300,100mg
13562,INTRONA injection 1 million iu/vial [SCHERING-P],interferon alfa-2b,8020401,1 million iu/vial
13583,ROFERON -A injection (solution) 3 million iu/ml [ROCHE],interferon alfa-2a,8020401,3 million iu/ml
13604,ESTRACYT capsules 140mg [PHARMACIA],estramustine sodium phosphate,8010100,140mg
13735,estramustine phosphate capsules 140mg ,estramustine sodium phosphate,8010100,140mg
13794,AVONEX powder for solution for injection 30micrograms [BIOGEN],interferon beta-1a,8020402,30micrograms
14054,SALAZOPYRIN suspension 250mg/5ml [PHARMACIA],sulfasalazine,10010300/01050100,250mg/5ml
14106,ARANESP injection 30micrograms [AMGEN],darbepoetin alfa,9010300,30micrograms
14136,NEORECORMON injection solution 5000 iu (41.5 micrograms)/0.3ml [ROCHE],epoetin beta,9010300,5000 iu (41.5 micrograms)/0.3ml
14281,NEORECORMON injection solution 6000 iu (49.8 micrograms)/0.3ml [ROCHE],epoetin beta,9010300,6000 iu (49.8 micrograms)/0.3ml
14381,paclitaxel concentrate for solution for infusion 6mg/ml ,paclitaxel,8010513,6mg/ml
14395,IMURAN injection 50mg/vial [WELLCOME],azathioprine,08020100/10010300/01050300,50mg/vial
14535,interferon alfa-2a injection (solution) 3 million iu/ml ,interferon alfa-2a,8020401,3 million iu/ml
14542,NEUPOGEN injection 300micrograms/ml [AMGEN],filgrastim,9010600,300micrograms/ml
14588,VIRAFERON injection solution 18 million i.u./3ml [SCHERING-P],interferon alfa-2b,8020401,18 million i.u./3ml
14604,VIRAFERON injection solution 18 million iu/1.2ml [SCHERING-P],interferon alfa-2b,8020401,18 million iu/1.2ml
14828,NIVAQUINE syrup 68mg/5ml [SANOFI/AVE],chloroquine sulphate,05040100/10010300,68mg/5ml
14832,epoetin alfa injection 4000 iu (33.6 microgram)/0.4ml ,epoetin alfa,9010300,4000 iu (33.6 microgram)/0.4ml
14857,phenytoin paediatric tablets 50mg ,phenytoin,04070300/04080100,50mg
14886,ENBREL powder for solution for injection 25mg [WYETH PHAR],etanercept,10010300,25mg
15016,triamcinolone hexacetonide injection 5mg/ml ,triamcinolone hexacetonide,10010202,5mg/ml
15061,INTRONA injection 3 million iu/vial [SCHERING-P],interferon alfa-2b,8020401,3 million iu/vial
15189,epoetin beta injection solution 3000 iu (24.9 micrograms)/0.3ml ,epoetin beta,9010300,3000 iu (24.9 micrograms)/0.3ml
15270,darbepoetin alfa injection 60micrograms ,darbepoetin alfa,9010300,60micrograms
15405,NOVANTRONE concentrate for solution for infusion 2mg/ml [WYETH PHAR],mitoxantrone hydrochloride,8010200,2mg/ml
15596,SANDIMMUN capsules 50mg [NOV/SANDOZ],ciclosporin,08020200/10010300/01050300/13050300,50mg
15650,valproic acid enteric coated soft gelatin capsules 300mg ,valproic acid,4080100,300mg
15677,NEORECORMON WITH SYRINGE injection 2000 units/vial [ROCHE],epoetin beta,9010300,2000 units/vial
15707,NEORECORMON injection 2000 units/vial [ROCHE],epoetin beta,9010300,2000 units/vial
15790,epoetin beta powder for solution for injection 50000 iu (415 micrograms) ,epoetin beta,9010300,50000 iu (415 micrograms)
15810,epoetin alfa injection 40000 iu (336 microgram)/1ml ,epoetin alfa,9010300,40000 iu (336 microgram)/1ml
15896,ARANESP injection 200micrograms/ml [AMGEN],darbepoetin alfa,9010300,200micrograms/ml
15897,ARANESP injection 40micrograms/ml [AMGEN],darbepoetin alfa,9010300,40micrograms/ml
15906,darbepoetin alfa injection 40micrograms/ml ,darbepoetin alfa,9010300,40micrograms/ml
15907,darbepoetin alfa injection 100micrograms/ml ,darbepoetin alfa,9010300,100micrograms/ml
15909,ARANESP injection 60micrograms [AMGEN],darbepoetin alfa,9010300,60micrograms
15914,ARANESP injection 80micrograms [AMGEN],darbepoetin alfa,9010300,80micrograms
15921,etanercept powder for solution for injection 25mg ,etanercept,10010300,25mg
15923,darbepoetin alfa injection 80micrograms ,darbepoetin alfa,9010300,80micrograms
15932,darbepoetin alfa injection 150micrograms ,darbepoetin alfa,9010300,150micrograms
15942,ARANESP injection 40micrograms [AMGEN],darbepoetin alfa,9010300,40micrograms
15944,ARANESP injection 100micrograms [AMGEN],darbepoetin alfa,9010300,100micrograms
15967,ARANESP injection 150micrograms [AMGEN],darbepoetin alfa,9010300,150micrograms
15974,darbepoetin alfa injection 100micrograms ,darbepoetin alfa,9010300,100micrograms
15976,ARANESP injection 50micrograms [AMGEN],darbepoetin alfa,9010300,50micrograms
16021,valproic acid enteric coated soft gelatin capsules 500mg ,valproic acid,4080100,500mg
16025,epoetin beta injection 60000 IU (498 micrograms) ,epoetin beta,9010300,60000 IU (498 micrograms)
16035,ciclosporin capsules 10mg ,ciclosporin,08020200/10010300/01050300/13050300,10mg
16062,epoetin beta injection solution 10000 iu (83 micrograms)/0.6ml ,epoetin beta,9010300,10000 iu (83 micrograms)/0.6ml
16084,NEORECORMON injection solution 30000 i.u. (250 micrograms)/0.6ml [ROCHE],epoetin beta,9010300,30000 i.u. (250 micrograms)/0.6ml
16105,cyclophosphamide injection 500mg ,cyclophosphamide,8010100,500mg
16137,NEORAL capsules 10mg [NOVARTIS],ciclosporin,08020200/10010300/01050300/13050300,10mg
16173,TAXOL concentrate for solution for infusion 6mg/ml [BMS],paclitaxel,8010513,6mg/ml
16363,ARANESP injection 100micrograms/ml [AMGEN],darbepoetin alfa,9010300,100micrograms/ml
16472,darbepoetin alfa injection 40micrograms ,darbepoetin alfa,9010300,40micrograms
16522,ARAVA tablets 10mg [AVENTIS],leflunomide,10010300,10mg
16606,sodium aurothiomalate injection 20mg/0.5ml ,sodium aurothiomalate,10010300,20mg/0.5ml
16721,interferon alfa-2b injection solution 18 million i.u./3ml ,interferon alfa-2b,8020401,18 million i.u./3ml
16722,interferon beta-1b powder for solution for injection 300micrograms (9.6million IU) ,interferon beta-1b,8020402,300micrograms (9.6million IU)
16754,interferon alfa-2b injection 3 million iu/vial ,interferon alfa-2b,8020401,3 million iu/vial
16761,interferon alfa-2b injection 18 million iu/vial ,interferon alfa-2b,8020401,18 million iu/vial
16815,triamcinolone hexacetonide injection 20mg/ml ,benzyl alcohol/triamcinolone hexacetonide,10010202,20mg/ml
16822,infliximab powder for concentrate for solution for infusion 100mg ,infliximab,10010300/01050300/13050300,100mg
16838,LEUKERAN tablets 2mg [WELLCOME],chlorambucil,8010100,2mg
16878,ARANESP injection 15micrograms [AMGEN],darbepoetin alfa,9010300,15micrograms
16879,mycophenolate mofetil oral suspension 1g/5ml ,mycophenolate mofetil,8020100,1g/5ml
16919,CELLCEPT capsules 250mg [ROCHE],mycophenolate mofetil,8020100,250mg
16929,melphalan tablets 2mg ,melphalan,8010100,2mg
17177,EPANUTIN INFATAB 50mg [PFIZER],phenytoin,04070300/04080100,50mg
17186,procarbazine capsules 50mg ,procarbazine hydrochloride,8010512,50mg
17281,VIRAFERON injection solution 25 million iu/5ml [SCHERING-P],interferon alfa-2b,8020401,25 million iu/5ml
17432,interferon alfa-2a injection 18 million i.u./0.6ml ,interferon alfa-2a,8020401,18 million i.u./0.6ml
17642,ARAVA tablets 20mg [AVENTIS],leflunomide,10010300,20mg
17880,SALAZOPYRIN suspension 250mg/5ml [PHARMACIA],sulfasalazine,10010300/01050100,250mg/5ml
18063,XELODA tablets 500mg [ROCHE],capecitabine,8010300,500mg
18070,fluorouracil capsules 250mg ,fluorouracil,08010300/23010000,250mg
18236,carboplatin injection 50mg/vial ,carboplatin,8010510,50mg/vial
18238,dacarbazine powder for solution for injection 100mg ,dacarbazine citrate,8010506,100mg
18460,ARAVA tablets 100mg [AVENTIS],leflunomide,10010300,100mg
18476,fludarabine tablets 10mg ,fludarabine phosphate,8010300,10mg
18485,NEORECORMON powder for solution for injection 50000 iu (415 micrograms) [ROCHE],epoetin beta,9010300,50000 iu (415 micrograms)
18496,darbepoetin alfa injection 15micrograms ,darbepoetin alfa,9010300,15micrograms
18521,epoetin alfa injection 8000 iu (67.2microgram)/0.8ml ,epoetin alfa,9010300,8000 iu (67.2microgram)/0.8ml
18522,ARANESP injection 300micrograms [AMGEN],darbepoetin alfa,9010300,300micrograms
18597,ARANESP SURECLICK injection 20micrograms [AMGEN],darbepoetin alfa,9010300,20micrograms
18614,valproic acid enteric coated soft gelatin capsules 150mg ,valproic acid,4080100,150mg
18751,etoposide capsules 100mg ,etoposide,8010400,100mg
18804,CELLCEPT tablets 500mg [ROCHE],mycophenolate mofetil,8020100,500mg
18886,CONVULEX enteric coated soft gelatin capsules 500mg [PHARMACIA],valproic acid,4080100,500mg
18914,vincristine sulphate injection 1mg ,vincristine sulphate,8010400,1mg
19072,OPRISINE tablets 50mg [OPUS],azathioprine,08020100/10010300/01050300,50mg
19132,darbepoetin alfa injection 200micrograms/ml ,darbepoetin alfa,9010300,200micrograms/ml
19251,darbepoetin alfa injection 50micrograms ,darbepoetin alfa,9010300,50micrograms
19257,ENBREL powder for solution for injection 50mg [WYETH PHAR],etanercept,10010300,50mg
19287,mitomycin injection 2mg ,mitomycin,07040401/08010200,2mg
19335,CYTOSAR injection 500mg [PHARMACIA],cytarabine,8010300,500mg
19370,ciclosporin concentrate for solution for infusion 50mg/ml ,ciclosporin,08020200/01050300,50mg/ml
19400,NEORECORMON injection 10000 iu (83 micrograms) [ROCHE],epoetin beta,9010300,10000 iu (83 micrograms)
19408,interferon alfa-2b injection 5 million iu/vial ,interferon alfa-2b,8020401,5 million iu/vial
19416,interferon alfa-2b injection solution 18 million iu/1.2ml ,interferon alfa-2b,8020401,18 million iu/1.2ml
19418,interferon alfa-2a injection (solution) 18 million iu/ml ,interferon alfa-2a,8020401,18 million iu/ml
19556,FLUORO-URACIL capsules 250mg [CAMBRIDGE],fluorouracil,08010300/23010000,250mg
19982,mercaptopurine capsules 10mg ,mercaptopurine,08010300/01050300,10mg
20094,tioguanine tablets 40mg ,tioguanine,8010300,40mg
20097,sirolimus oral solution 1mg/ml ,sirolimus,8020200,1mg/ml
20106,filgrastim injection 480micrograms/1.6ml ,filgrastim,9010600,480micrograms/1.6ml
20229,FLUORO-URACIL injection 25mg/ml [CAMBRIDGE],fluorouracil,8010300,25mg/ml
20255,PENDRAMINE tablets 250mg [VIATRIS],penicillamine,10010300/16070000/09080101,250mg
20399,RECORMON -S injection 2000 units/vial [BOEH MANN],epoetin beta,9010300,2000 units/vial
20400,RECORMON -S injection 1000 IU [BOEH MANN],epoetin beta,9010300,1000 IU
20408,NEORECORMON injection solution 1000 iu (8.3 micrograms)/0.3ml [ROCHE],epoetin beta,9010300,1000 iu (8.3 micrograms)/0.3ml
20789,interferon alfa-2b injection solution 5 million iu/ml ,interferon alfa-2b,8020401,5 million iu/ml
20841,mesna tablets 400mg ,mesna,8010604,400mg
20862,SULFASALAZINE enteric coated tablets 500mg [ACTAVIS],sulfasalazine,10010300/01050100,500mg
21070,RECORMON injection 5000 units/vial [BOEH MANN],epoetin beta,9010300,5000 units/vial
21178,EPREX injection 4000 iu (33.6 microgram)/0.4ml [JANSSEN],epoetin alfa,9010300,4000 iu (33.6 microgram)/0.4ml
21179,EPREX injection 8000 iu (67.2microgram)/0.8ml [JANSSEN],epoetin alfa,9010300,8000 iu (67.2microgram)/0.8ml
21192,epoetin alfa injection 3000 iu (25.2 microgram)/0.3ml ,epoetin alfa,9010300,3000 iu (25.2 microgram)/0.3ml
21249,temozolomide capsules 100mg ,temozolomide,8010506,100mg
21250,temozolomide capsules 250mg ,temozolomide,8010506,250mg
21261,interferon beta-1a powder for solution for injection 30micrograms ,interferon beta-1a,8020402,30micrograms
21286,imatinib capsules 100mg ,imatinib mesilate,8010508,100mg
21295,GLIVEC capsules 100mg [NOVARTIS],imatinib mesilate,8010508,100mg
21318,imatinib tablets 400mg ,imatinib mesilate,8010508,400mg
21476,NEORECORMON WITH SYRINGE injection 5000 units/vial [ROCHE],epoetin beta,9010300,5000 units/vial
21555,levamisole hydrochloride tablets 50mg ,levamisole hydrochloride,05050200/05050400/08020400/23010000,50mg
21732,CELLCEPT oral suspension 1g/5ml [ROCHE],mycophenolate mofetil,8020100,1g/5ml
21788,filgrastim injection 300microgram/0.5ml ,filgrastim,9010600,300microgram/0.5ml
21854,PENTRAN tablets 100mg [BERK],phenytoin sodium,04070300/04080100,100mg
21899,IMMUNOPRIN tablets 50mg [ASHBOURNE],azathioprine,08020100/10010300/01050300,50mg
22177,NEORECORMON WITH SYRINGE injection 10000 units/vial [ROCHE],epoetin beta,9010300,10000 units/vial
22204,busulfan tablets 500micrograms ,busulfan,8010100,500micrograms
22316,NEORECORMON injection 60000 IU (498 micrograms) [ROCHE],epoetin beta,9010300,60000 IU (498 micrograms)
22332,epoetin beta injection 500 IU (4.15 micrograms) ,epoetin beta,9010300,500 IU (4.15 micrograms)
22334,epoetin beta injection 1000 IU ,epoetin beta,9010300,1000 IU
22346,NEORECORMON injection solution 20000 iu (166 microgram)/0.6ml [ROCHE],epoetin beta,9010300,20000 iu (166 microgram)/0.6ml
22355,epoetin alfa injection 6000 iu (50.4 microgram)/0.6ml ,epoetin alfa,9010300,6000 iu (50.4 microgram)/0.6ml
22392,REMICADE powder for concentrate for solution for infusion 100mg [SCHERING-P],infliximab,10010300/01050300/13050300,100mg
22463,ROFERON -A injection (solution) 18 million iu/ml [ROCHE],interferon alfa-2a,8020401,18 million iu/ml
22505,epoetin beta injection 5000 units/vial ,epoetin beta,9010300,5000 units/vial
22640,razoxane tablets 125mg ,razoxane,8010519,125mg
22698,NEORECORMON WITH SYRINGE injection 1000 IU [ROCHE],epoetin beta,9010300,1000 IU
22811,calcium folinate injection (powder) 15mg/vial ,calcium folinate,8010602,15mg/vial
22838,INTRONA injection 10 million iu/vial [SCHERING-P],interferon alfa-2b,8020401,10 million iu/vial
22982,azathioprine oral solution 50mg/5ml ,azathioprine,08020100/10010300/01050300/23000000,50mg/5ml
23122,RECORMON -S injection 5000 units/vial [BOEH MANN],epoetin beta,9010300,5000 units/vial
23270,ALKERAN tablets 5mg [WELLCOME],melphalan,8010100,5mg
23289,RAPAMUNE tablets 1mg [WYETH PHAR],sirolimus,8020200,1mg
23401,SULAZINE EC enteric coated tablets 500mg [CHATFIELD],sulfasalazine,10010300/01050100,500mg
23441,MALARIVON syrup 80mg/5ml [WALLACE],chloroquine phosphate,05040100/10010300,80mg/5ml
23476,ROFERON -A sterile powder 4.5 million iu/vial [ROCHE],interferon alfa-2a,8020401,4.5 million iu/vial
23832,ELOXATIN powder for concentrate for solution for infusion 100mg [SANOFI S],oxaliplatin,8010510,100mg
23849,TAXOTERE concentrate for intravenous infusion 40mg/ml [AVENTIS],docetaxel,8010513,40mg/ml
23850,HUMIRA injection 40mg [ABBOTT],adalimumab,10010300/01050300/13050300,40mg
23871,TREOSULFAN capsules 250mg [FARILLON],treosulfan,8010100,250mg
23949,CALCIUM LEUCOVORIN tablets 15mg [WYETH PHAR],calcium folinate,09010200/08010602,15mg
24096,carboplatin injection 150mg ,carboplatin,8010510,150mg
24227,ROFERON -A injection (solution) 3 million iu/0.5ml [ROCHE],interferon alfa-2a,8020401,3 million iu/0.5ml
24423,INTRONA injection solution 25 million i.u./2.5ml [SCHERING-P],interferon alfa-2b,8020401,25 million i.u./2.5ml
24448,treosulfan capsules 250mg ,treosulfan,8010100,250mg
24499,NEORECORMON injection 10000 units/vial [ROCHE],epoetin beta,9010300,10000 units/vial
24579,EPREX injection 6000 iu (50.4 microgram)/0.6ml [JANSSEN],epoetin alfa,9010300,6000 iu (50.4 microgram)/0.6ml
24580,EPREX injection 5000 iu (42 microgram)/0.5ml [JANSSEN],epoetin alfa,9010300,5000 iu (42 microgram)/0.5ml
24637,phenytoin sodium injection 250mg/5ml ,phenytoin sodium,02030203/04080100/04080200,250mg/5ml
24681,fludarabine powder for solution for injection 50mg ,fludarabine phosphate,8010300,50mg
24868,ROFERON -A injection (solution) 6 million iu/0.5ml [ROCHE],interferon alfa-2a,8020401,6 million iu/0.5ml
24899,interferon alfa-2b injection solution 30 million iu/1.2ml ,interferon alfa-2b,8020401,30 million iu/1.2ml
24926,epoetin beta injection 2000 units/vial ,epoetin beta,9010300,2000 units/vial
24997,CAELYX concentrate for solution for infusion 2mg/ml [SCHERING-P],doxorubicin hydrochloride,8010200,2mg/ml
25118,EPREX injection 3000 iu (25.2 microgram)/0.3ml [JANSSEN],epoetin alfa,9010300,3000 iu (25.2 microgram)/0.3ml
25262,TARCEVA film coated tablets 150mg [ROCHE],erlotinib hydrochloride,8010521,150mg
25296,VIRAFERON injection solution 5 million iu/ml [SCHERING-P],interferon alfa-2b,8020401,5 million iu/ml
25589,vincristine sulphate injection 1mg/ml ,vincristine sulphate,8010400,1mg/ml
25612,interferon alfa-n1 solution 5 mega units/ml ,interferon alfa-n1,8020401,5 mega units/ml
25723,peginterferon alfa-2a injection 180micrograms ,peginterferon alfa-2a,8020401,180micrograms
25740,AVASTIN concentrate for solution for infusion 100mg/4ml [ROCHE],bevacizumab,8010518,100mg/4ml
25848,CCNU capsules 10mg [LUNDBECK],lomustine,8010100,10mg
25851,BLEO-KYOWA injection 15000 iu/vial [KYOWA HAK],bleomycin sulphate,8010200,15000 iu/vial
25903,fosphenytoin sodium concentrate for injection 750mg/10ml ,fosphenytoin sodium,04080100/04080200,750mg/10ml
25904,arsenic trioxide concentrate for solution for infusion 10mg/10ml ,arsenic trioxide,8010517,10mg/10ml
26006,calcium folinate injection (solution) 10mg/ml ,calcium folinate,8010602,10mg/ml
26066,cyclophosphamide injection 200mg ,cyclophosphamide,8010100,200mg
26097,mycophenolic acid gastro-resistant tablets 360mg ,mycophenolate sodium,8020100,360mg
26119,CHLORMETHINE injection 10mg/ml [SOVEREIGN],chlormethine hydrochloride,8010100,10mg/ml
