phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care,secondary_care,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,id,primary_care,secondary_care,type,data_sources,clinical_terminologies,validation,valid_event_data_range,sex,date,modified_date,version,authors
Depression,_data/primary_care/CPRD_depression.csv,_data/secondary_care/ICD_depression.csv,,Depression,"At the specified date, a patient is defined as having had 'Depression' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Depression' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Depression' or history of diagnosis during a hospitalization",Psychiatric,0,1,depression,['_data/primary_care/CPRD_depression.csv'],['_data/secondary_care/ICD_depression.csv'],,,,,,,,Disease or Syndrome,PHE00060,['_data/primary_care/CPRD_depression.csv'],['_data/secondary_care/ICD_depression.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Dermatitis (atopc/contact/other/unspecified),_data/primary_care/CPRD_dermatitis.csv,_data/secondary_care/ICD_dermatitis.csv,,Dermatitis (atopc/contact/other/unspecified),"At the specified date, a patient is defined as having had 'Dermatitis (atopc/contact/other/unspecified)' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Dermatitis (atopc/contact/other/unspecified)' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Dermatitis (atopc/contact/other/unspecified)' or history of diagnosis during a hospitalization",Skin,0,1,dermatitis,['_data/primary_care/CPRD_dermatitis.csv'],['_data/secondary_care/ICD_dermatitis.csv'],,,,,,,,Disease or Syndrome,PHE00061,['_data/primary_care/CPRD_dermatitis.csv'],['_data/secondary_care/ICD_dermatitis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Diabetes,_data/primary_care/CPRD_diabetes.csv,_data/secondary_care/ICD_diabetes.csv,,Diabetes,"Use MODIFIED CALIBER 'Diabetes' phenotyping algorithm for 
1.	T1DM, 
2.	T2DM, 
3.	'Diabetes' other or uncertain type:

IF there is at least one record for code for type 2 'Diabetes' (diabdiag_gprd = 4)
    and no record for type 1 'Diabetes' (no record with diabdiag_gprd = 3)
    then classify the patient as type 2 'Diabetes'

ELSE if there is at least one record for code for type I 'Diabetes' (diabdiag_gprd = 3)
    and no record for type 2 'Diabetes' (no record with diabdiag_gprd = 4)
    then classify the patient as type 1 'Diabetes'

ELSE if there is at least one record of type 1 'Diabetes' (diabdiag_gprd = 3)
    and type 2 'Diabetes' (diabdiag_gprd = 4)
    then classify as 'Diabetes' other or uncertain type

ELSE if there are no diabdiag_gprd records for this patient:

    If there is at least one record for Non-insulin-dependent 'Diabetes' mellitus (NIDDM) (dm_gprd = 4 or dm_hes = 4)
        and no record for IDDM (no record with dm_gprd = 3 or dm_hes = 3)
        then classify the patient as type 2 'Diabetes'

    ELSE if there is at least one record for Insulin-dependent 'Diabetes' mellitus (IDDM) (dm_gprd = 3 or dm_hes = 3)
        and no record for NIDDM (no record with dm_gprd = 4 or dm_hes = 4)
        then classify the patient as type 1 'Diabetes'

    ELSE if there is at least one record of 'Diabetes' (dm_gprd or dm_hes category 3, 4, 5 or 6)
        then classify as 'Diabetes' other or uncertain type

ELSE classify as no 'Diabetes'",Endocrine,0,1,diabetes,['_data/primary_care/CPRD_diabetes.csv'],['_data/secondary_care/ICD_diabetes.csv'],,,,,,,,Disease or Syndrome,PHE00062,['_data/primary_care/CPRD_diabetes.csv'],['_data/secondary_care/ICD_diabetes.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Diabetic Neuropathy,_data/primary_care/CPRD_dm_neuro.csv,_data/secondary_care/ICD_dm_neuro.csv,,Diabetic Neuropathy,"At the specified date, a patient is defined as having had Diabetic neurological complications IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Diabetic neurological complications diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Diabetic neurological complications or history of diagnosis during a hospitalization",Neurological,0,1,dm_neuro,['_data/primary_care/CPRD_dm_neuro.csv'],['_data/secondary_care/ICD_dm_neuro.csv'],,,,,,,,Disease or Syndrome,PHE00063,['_data/primary_care/CPRD_dm_neuro.csv'],['_data/secondary_care/ICD_dm_neuro.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Diabetic Eye Disease,_data/primary_care/CPRD_diab_eye.csv,_data/secondary_care/ICD_diab_eye.csv,,Diabetic Eye Disease,"At the specified date, a patient is defined as having had Diabetic ophthalmic complications IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Diabetic ophthalmic complications diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Diabetic ophthalmic complications or history of diagnosis during a hospitalization",Eye,0,1,diab_eye,['_data/primary_care/CPRD_diab_eye.csv'],['_data/secondary_care/ICD_diab_eye.csv'],,,,,,,,Disease or Syndrome,PHE00064,['_data/primary_care/CPRD_diab_eye.csv'],['_data/secondary_care/ICD_diab_eye.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Diaphragmatic Hernia,_data/primary_care/CPRD_hernia_diaphragm.csv,_data/secondary_care/ICD_hernia_diaphragm.csv,_data/secondary_care/OPCS_hernia_diaphragm.csv,Diaphragmatic hernia,"At the specified date, a patient is defined as having had 'Diaphragmatic hernia' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Diaphragmatic hernia' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Diaphragmatic hernia' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Diaphragmatic hernia' during a hospitalization",Digestive,0,1,hernia_diaphragm,['_data/primary_care/CPRD_hernia_diaphragm.csv'],"['_data/secondary_care/ICD_hernia_diaphragm.csv', '_data/secondary_care/OPCS_hernia_diaphragm.csv']",,,,,,,,Disease or Syndrome,PHE00065,['_data/primary_care/CPRD_hernia_diaphragm.csv'],"['_data/secondary_care/ICD_hernia_diaphragm.csv', '_data/secondary_care/OPCS_hernia_diaphragm.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Dilated Cardiomyopathy,_data/primary_care/CPRD_dcm.csv,_data/secondary_care/ICD_dcm.csv,,Dilated cardiomyopathy,"At the specified date, a patient is defined as having had 'Dilated cardiomyopathy' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Dilated cardiomyopathy' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Dilated cardiomyopathy' or history of diagnosis during a hospitalization",Cardiovascular,0,1,dcm,['_data/primary_care/CPRD_dcm.csv'],['_data/secondary_care/ICD_dcm.csv'],,,,,,,,Disease or Syndrome,PHE00066,['_data/primary_care/CPRD_dcm.csv'],['_data/secondary_care/ICD_dcm.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Autonomic Neuropathy,_data/primary_care/CPRD_autonomic_neuro.csv,_data/secondary_care/ICD_autonomic_neuro.csv,,Autonomic Neuropathy,"At the specified date, a patient is defined as having had a Disorder of the autonomic nervous system IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Disorder of the autonomic nervous system diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Disorder of the autonomic nervous system or history of diagnosis during a hospitalization",Neurological,0,1,autonomic_neuro,['_data/primary_care/CPRD_autonomic_neuro.csv'],['_data/secondary_care/ICD_autonomic_neuro.csv'],,,,,,,,Disease or Syndrome,PHE00067,['_data/primary_care/CPRD_autonomic_neuro.csv'],['_data/secondary_care/ICD_autonomic_neuro.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Diverticular Disease,_data/primary_care/CPRD_diverticuli.csv,_data/secondary_care/ICD_diverticuli.csv,_data/secondary_care/OPCS_diverticuli.csv,Diverticular Disease,"At the specified date, a patient is defined as having had 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) during a hospitalization",Digestive,0,1,diverticuli,['_data/primary_care/CPRD_diverticuli.csv'],"['_data/secondary_care/ICD_diverticuli.csv', '_data/secondary_care/OPCS_diverticuli.csv']",,,,,,,,Disease or Syndrome,PHE00068,['_data/primary_care/CPRD_diverticuli.csv'],"['_data/secondary_care/ICD_diverticuli.csv', '_data/secondary_care/OPCS_diverticuli.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Down Syndrome,_data/primary_care/CPRD_downs.csv,_data/secondary_care/ICD_downs.csv,,Down syndrome,"At the specified date, a patient is defined as having had Down's syndrome IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Down's syndrome diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Down's syndrome or history of diagnosis during a hospitalization",Perinatal ,0,0,downs,['_data/primary_care/CPRD_downs.csv'],['_data/secondary_care/ICD_downs.csv'],,,,,,,,Disease or Syndrome,PHE00069,['_data/primary_care/CPRD_downs.csv'],['_data/secondary_care/ICD_downs.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Dysmenorrhoea,_data/primary_care/CPRD_dysmenorrhoea.csv,_data/secondary_care/ICD_dysmenorrhoea.csv,,Dysmenorrhoea,"At the specified date, a patient is defined as having had 'Dysmenorrhoea' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Dysmenorrhoea' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Dysmenorrhoea' or history of diagnosis during a hospitalization",Genitourinary,0,1,dysmenorrhoea,['_data/primary_care/CPRD_dysmenorrhoea.csv'],['_data/secondary_care/ICD_dysmenorrhoea.csv'],,,,,,,,Disease or Syndrome,PHE00070,['_data/primary_care/CPRD_dysmenorrhoea.csv'],['_data/secondary_care/ICD_dysmenorrhoea.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Infection – Ear/upper Respiratory Tract,,_data/secondary_care/ICD_ear_urti.csv,,Infection – Ear/Upper Respiratory Tract,"At the specified date, a patient is defined as having had Ear and Upper Respiratory Tract Infections IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of Ear and Upper Respiratory Tract Infections or history of diagnosis during a hospitalization",Infections,0,1,ear_urti,[],['_data/secondary_care/ICD_ear_urti.csv'],,,,,,,,Disease or Syndrome,PHE00071,[],['_data/secondary_care/ICD_ear_urti.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Encephalitis,,_data/secondary_care/ICD_enceph.csv,,Encephalitis,"At the specified date, a patient is defined as having had 'Encephalitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of 'Encephalitis' or history of diagnosis during a hospitalization",Infections,0,1,enceph,[],['_data/secondary_care/ICD_enceph.csv'],,,,,,,,Disease or Syndrome,PHE00072,[],['_data/secondary_care/ICD_enceph.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
End Stage Renal Disease,_data/primary_care/CPRD_ESRD.csv,_data/secondary_care/ICD_ESRD.csv,_data/secondary_care/OPCS_ESRD.csv,End stage renal disease,"At the specified date, a patient is defined as having had 'End stage renal disease' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'End stage renal disease' diagnosis or history of diagnosis or procedure during a consultation 
OR
2. Meets the following criteria (definitions as for CKD):
IF egfr_ckdepi recorded on or before specified date, THEN 
IF egfr_ckdepi <15 ml/min on the most recent date (index date) before the specified date
AND
IF egfr_ckdepi <15 ml/min on any date greater than 90 days BEFORE the index date above
THEN classify as having ESRD
Secondary care
1. ALL diagnoses of 'End stage renal disease' or history of diagnosis or procedure during a hospitalization
Secondary care (OPCS4)
1. ALL procedures for 'End stage renal disease' during a hospitalization",Genitourinary,0,1,ESRD,['_data/primary_care/CPRD_ESRD.csv'],"['_data/secondary_care/ICD_ESRD.csv', '_data/secondary_care/OPCS_ESRD.csv']",,,,,,,,Disease or Syndrome,PHE00073,['_data/primary_care/CPRD_ESRD.csv'],"['_data/secondary_care/ICD_ESRD.csv', '_data/secondary_care/OPCS_ESRD.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Endometrial Hyperplasia,_data/primary_care/CPRD_endometrial_hyper.csv,_data/secondary_care/ICD_endometrial_hyper.csv,,Endometrial Hyperplasia,"At the specified date, a patient is defined as having had 'Endometrial hyperplasia and hypertrophy' and hypertrophy IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Endometrial hyperplasia and hypertrophy' and hypertrophy diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Endometrial hyperplasia and hypertrophy' and hypertrophy or history of diagnosis during a hospitalization",Genitourinary,0,1,endometrial_hyper,['_data/primary_care/CPRD_endometrial_hyper.csv'],['_data/secondary_care/ICD_endometrial_hyper.csv'],,,,,,,,Disease or Syndrome,PHE00074,['_data/primary_care/CPRD_endometrial_hyper.csv'],['_data/secondary_care/ICD_endometrial_hyper.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Endometriosis,_data/primary_care/CPRD_endometriosis.csv,_data/secondary_care/ICD_endometriosis.csv,,Endometriosis,"At the specified date, a patient is defined as having had 'Endometriosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Endometriosis' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Endometriosis' or history of diagnosis during a hospitalization",Genitourinary,0,1,endometriosis,['_data/primary_care/CPRD_endometriosis.csv'],['_data/secondary_care/ICD_endometriosis.csv'],,,,,,,,Disease or Syndrome,PHE00075,['_data/primary_care/CPRD_endometriosis.csv'],['_data/secondary_care/ICD_endometriosis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Enteropathic Arthropathy,_data/primary_care/CPRD_entero_arthro.csv,_data/secondary_care/ICD_entero_arthro.csv,,Enteropathic arthropathy,"At the specified date, a patient is defined as having had 'Enteropathic arthropathy' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Enteropathic arthropathy' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Enteropathic arthropathy' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,entero_arthro,['_data/primary_care/CPRD_entero_arthro.csv'],['_data/secondary_care/ICD_entero_arthro.csv'],,,,,,,,Disease or Syndrome,PHE00076,['_data/primary_care/CPRD_entero_arthro.csv'],['_data/secondary_care/ICD_entero_arthro.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Enthesopathies & Synovial Disorders,_data/primary_care/CPRD_enthesopathy.csv,_data/secondary_care/ICD_enthesopathy.csv,,Enthesopathies & synovial disorders,"At the specified date, a patient is defined as having had 'Enthesopathies & synovial disorders' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Enthesopathies & synovial disorders' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Enthesopathies & synovial disorders' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,enthesopathy,['_data/primary_care/CPRD_enthesopathy.csv'],['_data/secondary_care/ICD_enthesopathy.csv'],,,,,,,,Disease or Syndrome,PHE00077,['_data/primary_care/CPRD_enthesopathy.csv'],['_data/secondary_care/ICD_enthesopathy.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Epilepsy,_data/primary_care/CPRD_epilepsy.csv,_data/secondary_care/ICD_epilepsy.csv,,Epilepsy,"At the specified date, a patient is defined as having had 'Epilepsy' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Epilepsy' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Epilepsy' or history of diagnosis during a hospitalization",Neurological,0,1,epilepsy,['_data/primary_care/CPRD_epilepsy.csv'],['_data/secondary_care/ICD_epilepsy.csv'],,,,,,,,Disease or Syndrome,PHE00078,['_data/primary_care/CPRD_epilepsy.csv'],['_data/secondary_care/ICD_epilepsy.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Erectile Dysfunction,_data/primary_care/CPRD_ED.csv,_data/secondary_care/ICD_ED.csv,,Erectile dysfunction,"At the specified date, a patient is defined as having had 'Erectile dysfunction' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Erectile dysfunction' diagnosis or history of diagnosis during or procedure a consultation 
OR
2. 'Erectile dysfunction' possible diagnosis during a consultation IF patient = male
OR
Secondary care
1. ALL diagnoses of 'Erectile dysfunction' or history of diagnosis during a hospitalization
OR
2. ALL possible diagnosis of 'Erectile dysfunction' during a hospitalization IF patient = male",Genitourinary,0,1,ED,['_data/primary_care/CPRD_ED.csv'],['_data/secondary_care/ICD_ED.csv'],,,,,,,,Disease or Syndrome,PHE00079,['_data/primary_care/CPRD_ED.csv'],['_data/secondary_care/ICD_ED.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Essential Tremor,_data/primary_care/CPRD_essential_tremor.csv,_data/secondary_care/ICD_essential_tremor.csv,,Essential Tremor,"At the specified date, a patient is defined as having had 'Essential tremor' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Essential tremor' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Essential tremor' or history of diagnosis during a hospitalization",Neurological,0,1,essential_tremor,['_data/primary_care/CPRD_essential_tremor.csv'],['_data/secondary_care/ICD_essential_tremor.csv'],,,,,,,,Disease or Syndrome,PHE00080,['_data/primary_care/CPRD_essential_tremor.csv'],['_data/secondary_care/ICD_essential_tremor.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
